Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
MCIC_FC_2024_111_1	(1, 0.0005927669843016151)	(2, 0.0009940246352134778)	(3, 9.119492066178695e-06)	(4, 4.559746033089348e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.39212490487865054)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7819707793799813)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_FC_2024_111_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 6.384918748944493e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.3990904648330919)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.1426122253365e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 5.04788666209527e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 6.987806045523693e-06)	(88, 2.3381157074075457e-06)	(90, 7.045170817211634e-06)	(92, 5.900683240112372e-05)	(94, 0.0)	(96, 7.1887818197049685e-06)	(98, 0.0)	(100, 3.2395044348653736e-06)
MCIC_FD_2024_105_1	(1, 0.0007213333404691041)	(2, 0.0008570681088369462)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.878136239081204e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.1655240322314015e-05)	(64, 0.0)	(66, 0.3926993825151338)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.5433885456031717e-05)	(80, 0.0)	(82, 5.8919177186620295e-06)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7585546378261293)	(94, 0.0)	(96, 0.0)	(98, 1.4830154687411484e-05)	(100, 0.0)
MCIC_FD_2024_105_2	(1, 0.0)	(2, 0.0)	(3, 3.878136239081204e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 4.4610534420819204e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.38043955451896255)	(52, 0.0)	(54, 0.0)	(56, 1.941905715583906e-06)	(58, 0.0)	(60, 3.885965563350371e-05)	(62, 0.00019437777826588197)	(64, 0.0)	(66, 5.8375203272187e-06)	(68, 2.1417822463230274e-05)	(70, 0.0)	(72, 0.00023014796329584678)	(74, 7.810531044449401e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.76951135474792e-05)	(84, 7.885083114098454e-06)	(86, 0.00045679535593761095)	(88, 1.9845214471400287e-06)	(90, 0.00014547056859383686)	(92, 2.402774387474241e-05)	(94, 0.0)	(96, 0.00026416815611785303)	(98, 0.0)	(100, 1.663265335257879e-05)
MCIC_FD_2024_204_1	(1, 0.000728523491725673)	(2, 0.0009616510090778883)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.856823278171154e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.3917553916223578)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7557045233883384)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_FD_2024_204_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 4.858108850446836e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.38023146445451694)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.79302144184096e-05)	(64, 0.0)	(66, 0.0)	(68, 4.8803319426095416e-06)	(70, 0.0)	(72, 9.535895776864734e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.771548652193371e-05)	(94, 0.0)	(96, 7.682844594723161e-06)	(98, 0.0)	(100, 3.4048913238704367e-06)
MCIC_MD_2024_109_1	(1, 0.0005535999624772561)	(2, 0.0008674519097084563)	(3, 0.0)	(4, 8.71810964531112e-06)	(5, 0.0)	(6, 4.35905482265556e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.392867481376447)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7566096208210243)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_MD_2024_109_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 5.668159354632096e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.3759454184305493)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00012237444534875274)	(64, 0.0)	(66, 0.0)	(68, 2.189294838641089e-06)	(70, 0.0)	(72, 8.773045117161057e-05)	(74, 2.195937629574045e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.00017132173786278936)	(88, 1.1165383060733855e-05)	(90, 6.727625532110329e-06)	(92, 3.830756199611331e-05)	(94, 0.0)	(96, 9.149918579449521e-06)	(98, 0.0)	(100, 0.0)
MCIC_MD_2024_113_1	(1, 0.0006828969514914148)	(2, 0.0009205903655464377)	(3, 7.545822668413424e-06)	(4, 3.772911334206712e-06)	(5, 0.0)	(6, 3.772911334206712e-06)	(7, 2.263746800524027e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.886467304173139e-05)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.5617637299700215e-06)	(64, 0.0)	(66, 0.3876632184496318)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.8497520177076723)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_MD_2024_113_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.8865201888127504e-06)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 5.84905715557143e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.4211854023850753)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 1.3228420369189717e-05)	(60, 0.0)	(62, 0.0001759049886087334)	(64, 0.0)	(66, 0.0)	(68, 1.1371937662752566e-05)	(70, 0.0)	(72, 0.00013673369003987934)	(74, 3.8031020724643447e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 4.420214833971926e-05)	(86, 0.00020825182427633939)	(88, 0.0)	(90, 6.998655810947955e-05)	(92, 5.080559004527775e-05)	(94, 6.683726682443407e-05)	(96, 0.00015075229561033516)	(98, 2.8949561840110247e-05)	(100, 2.6015710575427975e-06)
