Sample	Strand inference method	Status	Provided strandedness	Inferred strandedness	Sense (%)	Antisense (%)	Unstranded (%)
MCIC_FC_2024_111	RSeQC	pass	auto	reverse	1.7799999986577313	98.18999999920663	0.03000000213563913
MCIC_FC_2024_111 	Salmon	pass	auto	reverse	6.938069530448586	93.06193046955141	0.0
MCIC_FD_2024_105	RSeQC	pass	auto	reverse	1.1000000026193448	98.80999999822467	0.0899999991559889
MCIC_FD_2024_105 	Salmon	pass	auto	reverse	7.004098440450926	92.99590155954908	0.0
MCIC_FD_2024_204	RSeQC	pass	auto	reverse	1.9899999679111353	97.99000003263806	0.01999999945081072
MCIC_FD_2024_204 	Salmon	pass	auto	reverse	7.290294715176206	92.7097052848238	0.0
MCIC_MD_2024_109	RSeQC	pass	auto	reverse	0.4400000028405339	99.4899999988242	0.06999999833526087
MCIC_MD_2024_109 	Salmon	pass	auto	reverse	6.747416957561088	93.25258304243891	0.0
MCIC_MD_2024_113	RSeQC	pass	auto	reverse	0.8999999469029727	99.04000005120412	0.0600000018929131
MCIC_MD_2024_113 	Salmon	pass	auto	reverse	7.177967748202836	92.82203225179715	0.0
MCIC_MD_2024_116	RSeQC	pass	auto	reverse	1.3199999601929457	98.65000003912428	0.030000000682775845
MCIC_MD_2024_116 	Salmon	pass	auto	reverse	7.219055652378856	92.78094434762114	0.0
