gene_id	gene_name	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
L0F63_000001	L0F63_000001	150	339	12	287	48	74
L0F63_000002	L0F63_000002	135	742	14	639	44	77
L0F63_000003	L0F63_000003	0	0	0	0	0	0
L0F63_000004	L0F63_000004	0	0	0	0	0	0
L0F63_000005	L0F63_000005	0	0	0	0	0	0
L0F63_000006	L0F63_000006	0	0	0	0	0	0
L0F63_000007	L0F63_000007	0	1	0	6	0	0
L0F63_000008	L0F63_000008	3	11	0	18	0	0
L0F63_000009	L0F63_000009	40	104	8	136	24	18
L0F63_000010	L0F63_000010	21	52	1	50	7	8
L0F63_000011	L0F63_000011	0	0	0	0	0	0
L0F63_000012	L0F63_000012	28	0	63	2	148	33
L0F63_000013	L0F63_000013	600	948	372	917	571	703
L0F63_000014	L0F63_000014	647	1017	168	1219	311	557
L0F63_000015	L0F63_000015	0	0	0	0	0	0
L0F63_000016	L0F63_000016	125	80	61	257	70	110
L0F63_000017	L0F63_000017	874	1068	414	674	618	848
L0F63_000018	L0F63_000018	26	111	10	101	11	18
L0F63_000019	L0F63_000019	59	98	30	131	29	35
L0F63_000020	L0F63_000020	0	0	0	0	0	0
L0F63_000021	L0F63_000021	1139	1799	188	1794	935	869
L0F63_000022	L0F63_000022	0	0	0	0	0	0
L0F63_000023	L0F63_000023	0	0	0	0	0	0
L0F63_000024	L0F63_000024	24	43	14	75	26	16
L0F63_000025	L0F63_000025	8316.401	18484.835	396.653	16800.444	2167.331	3203.944
L0F63_000026	L0F63_000026	0	0	0	0	0	0
L0F63_000027	L0F63_000027	1563.599	2763.165	115.347	2843.556	409.669	492.056
L0F63_000028	L0F63_000028	0	0	0	0	0	0
L0F63_000029	L0F63_000029	0	0	0	0	0	0
L0F63_000030	L0F63_000030	74	277	24	300	40	56
L0F63_000031	L0F63_000031	4293	9923	714	8889	2444	2789
L0F63_000032	L0F63_000032	182	765	34	627	73	119
L0F63_000033	L0F63_000033	47	160	7	132	12	15
L0F63_000034	L0F63_000034	0	0	0	0	0	0
L0F63_000035	L0F63_000035	121	346	6	372	40	87
L0F63_000036	L0F63_000036	760	2650	199	2890	529	555
L0F63_000037	L0F63_000037	555	3060	136	3133	352	448
L0F63_000038	L0F63_000038	0	0	0	0	0	0
L0F63_000039	L0F63_000039	0	0	0	0	0	0
L0F63_000040	L0F63_000040	0	10	2	13	6	0
L0F63_000041	L0F63_000041	7	0	0	3	2	1
L0F63_000042	L0F63_000042	247	677	58	1160	131	204
L0F63_000043	L0F63_000043	0	0	0	0	0	0
L0F63_000044	L0F63_000044	0	0	0	0	0	0
L0F63_000045	L0F63_000045	0	0	0	0	0	0
L0F63_000046	L0F63_000046	619	1807	157	1263	400	602
L0F63_000047	L0F63_000047	57	170	12	199	27	54
L0F63_000048	L0F63_000048	217	476	93	644	160	162
L0F63_000049	L0F63_000049	583	1149	58	834	286	457
L0F63_000050	L0F63_000050	0	0	0	0	0	0
L0F63_000051	L0F63_000051	706	1265	131	1444	199	580
L0F63_000052	L0F63_000052	22	44	12	254	6	6
L0F63_000053	L0F63_000053	2918	3738	1015	2956	2242	2839
L0F63_000054	L0F63_000054	0	0	0	0	0	0
L0F63_000055	L0F63_000055	0	0	0	0	0	0
L0F63_000056	L0F63_000056	3	1	4	1	3	2
L0F63_000057	L0F63_000057	0	0	0	0	0	0
L0F63_000058	L0F63_000058	107	114	81	91	63	128
L0F63_000059	L0F63_000059	0	0	0	0	0	0
L0F63_000060	L0F63_000060	18	40	3	38	3	6
L0F63_000061	L0F63_000061	601	1544	157	1093	222	555
L0F63_000062	L0F63_000062	10169	2834	7781	4504	9650	12921
L0F63_000063	L0F63_000063	185	383	76	486	79	168
L0F63_000064	L0F63_000064	0	0	0	0	0	0
L0F63_000065	L0F63_000065	1555	4792	390	5267	841	1173
L0F63_000066	L0F63_000066	0	0	0	0	0	0
L0F63_000067	L0F63_000067	0	0	0	0	0	0
L0F63_000068	L0F63_000068	0	0	0	0	0	0
L0F63_000069	L0F63_000069	22668	3995	13169	10090	13035	27633
L0F63_000070	L0F63_000070	0	0	0	0	0	0
L0F63_000071	L0F63_000071	21	27	14	14	4	12
L0F63_000072	L0F63_000072	0	0	0	0	0	0
L0F63_000073	L0F63_000073	1250	2193	212	3095	670	871
L0F63_000074	L0F63_000074	19	2	3	6	1	14
L0F63_000075	L0F63_000075	0	0	0	0	0	0
L0F63_000076	L0F63_000076	266	1225	151	1617	61	218
L0F63_000077	L0F63_000077	1140	356	1016	770	1121	1915
L0F63_000078	L0F63_000078	837	2784	195	2056	424	718
L0F63_000079	L0F63_000079	391	190	189	308	243	408
L0F63_000080	L0F63_000080	0	0	0	0	0	0
L0F63_000081	L0F63_000081	1641	8217	513	2991	676	1503
L0F63_000082	L0F63_000082	7	90	0	12	6	2
L0F63_000083	L0F63_000083	0	0	0	0	0	0
L0F63_000084	L0F63_000084	0	0	0	0	0	0
